Date,Open,High,Low,Close,Adj Close,Volume
"Oct 31, 2006",1377.93,1381.21,1372.19,1377.94,1377.94,2803030000
"Oct 30, 2006",1377.3,1381.22,1373.46,1377.93,1377.93,2770440000
"Oct 27, 2006",1388.89,1388.89,1375.85,1377.34,1377.34,2458450000
"Oct 26, 2006",1382.21,1389.45,1379.47,1389.08,1389.08,2793350000
"Oct 25, 2006",1377.36,1383.61,1376,1382.22,1382.22,2953540000
"Oct 24, 2006",1377.02,1377.78,1372.42,1377.38,1377.38,2876890000
"Oct 23, 2006",1368.58,1377.4,1363.94,1377.02,1377.02,2480430000
"Oct 20, 2006",1366.94,1368.66,1362.1,1368.6,1368.6,2526410000
"Oct 19, 2006",1365.95,1368.09,1362.06,1366.96,1366.96,2619830000
"Oct 18, 2006",1363.93,1372.87,1360.95,1365.8,1365.8,2658840000
"Oct 17, 2006",1369.05,1369.05,1356.87,1364.05,1364.05,2519620000
"Oct 16, 2006",1365.61,1370.2,1364.48,1369.06,1369.06,2305920000
"Oct 13, 2006",1362.82,1366.63,1360.5,1365.62,1365.62,2482920000
"Oct 12, 2006",1349.94,1363.76,1349.94,1362.83,1362.83,2514350000
"Oct 11, 2006",1353.28,1353.97,1343.57,1349.95,1349.95,2521000000
"Oct 10, 2006",1350.62,1354.23,1348.6,1353.42,1353.42,2376140000
"Oct 09, 2006",1349.58,1352.69,1346.55,1350.66,1350.66,1935170000
"Oct 06, 2006",1353.22,1353.22,1344.21,1349.59,1349.59,2523000000
"Oct 05, 2006",1349.84,1353.79,1347.75,1353.22,1353.22,2817240000
"Oct 04, 2006",1333.81,1350.2,1331.48,1350.2,1350.2,3019880000
"Oct 03, 2006",1331.32,1338.31,1327.1,1334.11,1334.11,2682690000
"Oct 02, 2006",1335.82,1338.54,1330.28,1331.32,1331.32,2154480000
"Sep 29, 2006",1339.15,1339.88,1335.64,1335.85,1335.85,2273430000
"Sep 28, 2006",1336.56,1340.28,1333.75,1338.88,1338.88,2397820000
"Sep 27, 2006",1336.12,1340.08,1333.54,1336.59,1336.59,2749190000
"Sep 26, 2006",1326.35,1336.6,1325.3,1336.35,1336.35,2673350000
"Sep 25, 2006",1314.78,1329.35,1311.58,1326.37,1326.37,2710240000
"Sep 22, 2006",1318.03,1318.03,1310.94,1314.78,1314.78,2162880000
"Sep 21, 2006",1324.89,1328.19,1315.45,1318.03,1318.03,2627440000
"Sep 20, 2006",1318.28,1328.53,1318.28,1325.18,1325.18,2543070000
"Sep 19, 2006",1321.17,1322.04,1312.17,1317.64,1317.64,2390850000
"Sep 18, 2006",1319.85,1324.87,1318.16,1321.18,1321.18,2325080000
"Sep 15, 2006",1316.28,1324.65,1316.28,1319.66,1319.66,3198030000
"Sep 14, 2006",1318,1318,1313.25,1316.28,1316.28,2351220000
"Sep 13, 2006",1312.74,1319.92,1311.12,1318.07,1318.07,2597220000
"Sep 12, 2006",1299.53,1314.28,1299.53,1313,1313,2791580000
"Sep 11, 2006",1298.86,1302.36,1290.93,1299.54,1299.54,2506430000
"Sep 08, 2006",1294.02,1300.14,1294.02,1298.92,1298.92,2132890000
"Sep 07, 2006",1300.21,1301.25,1292.13,1294.02,1294.02,2325850000
"Sep 06, 2006",1313.04,1313.04,1299.28,1300.26,1300.26,2329870000
"Sep 05, 2006",1310.94,1314.67,1308.82,1313.25,1313.25,2114480000
"Sep 01, 2006",1303.8,1312.03,1303.8,1311.01,1311.01,1800520000
"Aug 31, 2006",1304.25,1306.11,1302.45,1303.82,1303.82,1974540000
"Aug 30, 2006",1303.7,1306.74,1302.15,1305.37,1305.37,2060690000
"Aug 29, 2006",1301.57,1305.02,1295.29,1304.28,1304.28,2093720000
"Aug 28, 2006",1295.09,1305.02,1293.97,1301.78,1301.78,1834920000
